img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,18,8,1,1,8,18,1,165.10342890000902,,,,,,165.08753700001398,,,,2,165.1034573999932,522369.109297,165.10342890000902,,167.0875688000233,167.12850180000532,167.13820380001562,3,167.1382344000158,522371.1440752,168.3376221000217,168.33766929997364,168.35352459998103,5,168.35354759998154,522372.3593871,172.08716029999778,172.0872073000064,172.10389119997853,6,172.1039185000118,522376.1097582,174.0893609999912,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,19,9,1,1,9,19,3,174.10368649999145,,,,,,174.08952600002522,,,,2,174.10371799999848,522378.1095572,174.10368649999145,,176.08967979997396,176.12852189998375,176.1377243999741,3,176.13775059999898,522380.1435902,177.3388588000089,177.33890650002286,177.35695960000157,5,177.35698599996977,522381.3628268,181.10469010000816,181.10486810002476,181.1311827999889,6,181.13121570000658,522385.1370574,183.08739429997513,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,20,0,2,2,0,20,0,183.103637000022,,,,,,183.08759010001086,,,,2,183.10367119999137,522387.109511,183.103637000022,,185.0876596000162,185.13263259996893,185.13762080000015,3,185.13764769997215,522389.1434893,186.3373045999906,186.33733780001057,186.35418189998018,5,186.35420339996926,522390.3600418,190.08822779997718,190.08827569999266,190.10459409997566,6,190.10461609996855,522394.1104555,192.0873436999973,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,21,1,2,2,1,21,6,192.10360839997884,,,,,,192.0875394999748,,,,2,192.1036340999999,522396.1094721,192.10360839997884,,194.08724369999254,194.12832289998187,194.14090369996848,4,194.1409294999903,522398.1467701,195.33733890001895,195.33738809998613,195.35437159996945,5,195.35439549997682,522399.3602396,199.08708710002247,199.0871468000114,199.10439669998595,6,199.1044230000116,522403.110263,201.08791790000396,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,22,2,2,2,2,22,2,201.10409729997627,,,,,,201.0880782000022,,,,2,201.10413029999472,522405.1099702,201.10409729997627,,203.08751139999367,203.12765909999143,203.13715819997014,3,203.13718540000264,522407.1430249,204.34097660001134,204.3410233000177,204.3543719999725,5,204.35438949998934,522408.3602271,208.0880042000208,208.08803739998257,208.10400599997956,6,208.10403069999302,522412.1098708,210.08792339998763,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,23,3,2,2,3,23,7,210.10419149999507,,,,,,210.08808269997826,,,,2,210.1042178000207,522414.1100565,210.10419149999507,,212.08790039998712,212.13198569999076,212.13848159997724,4,212.13850669999374,522416.1443463,213.33823749999283,213.3382918999996,213.35443309997208,5,213.35445729998173,522417.3602972,217.08983050001552,217.0898641999811,217.10724089998985,6,217.10726989997784,522421.1131102,219.0880940000061,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,24,4,2,2,4,24,9,219.10428729996784,,,,,,219.08823719999054,,,,2,219.10432159999618,522423.110162,219.10428729996784,,221.08982990001095,221.13174919999437,221.1384344000253,4,221.13845550001133,522425.1442949,222.33941620000405,222.33946330001345,222.3544230000116,5,222.35445959999925,522426.3603001,226.09420940000564,226.09425359999295,226.10503649996826,6,226.1050596999703,522430.110899,228.0875822000089,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,25,5,2,2,5,25,5,228.10663230001228,,,,,,228.08770340000046,,,,2,228.10666009999113,522432.1124988,228.10663230001228,,230.07434569997713,230.12373270001262,230.13886250002543,4,230.1388958999887,522434.1447372,231.34133049997035,231.3413806000026,231.35667970002396,5,231.3567061999929,522435.362546,235.09298369998578,235.0930318000028,235.11117330001434,6,235.1111940999981,522439.1170328,237.09044489997905,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,26,6,2,2,6,26,4,237.1054596999893,,,,,,237.09059540001908,,,,2,237.10549390001688,522441.1113374,237.1054596999893,,239.07526700000744,239.11963809997542,239.13769579998916,3,239.1377251999802,522443.1435654,240.33983750001062,240.3398729999899,240.35989899997367,5,240.35993189999135,522444.3657758,244.0915441000252,244.09159279998858,244.10842200001935,6,244.10844500001986,522448.1142842,246.09246740001254,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,27,7,2,2,7,27,3,246.10645439999644,,,,,,246.0926304999739,,,,2,246.1064836999867,522450.1123226,246.10645439999644,,248.089249200013,248.12748329999158,248.1410288999905,3,248.14105380000547,522452.1468929,249.32435880001867,249.3244137999718,249.3380645000143,5,249.3380897999741,522453.3439302,253.07185700000264,253.0718834999716,253.08802740002284,6,253.08805939997546,522457.0938999,255.07359169999836,253.08802740002284,255.09128290001536,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
