img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,25,5,2,2,5,25,4,180.41634470014833,,,,,,180.39894270012155,,,,2,180.41647629998624,1237032.6006256,180.41634470014833,,182.40265970001929,182.44076790008694,182.44474860001355,3,182.44477970013395,1237034.6289297,183.65460410015658,183.65464269998483,183.67127280007116,5,183.67129610013217,1237035.8554455,187.4114062001463,187.41144350008108,187.41150439996272,6,180.41638389998116,1237032.6005358,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,26,6,2,2,6,26,8,187.42806900013238,,,,,,187.4116194001399,,,,2,187.42815320007503,1237039.6122999,187.42806900013238,,189.4150904000271,189.45393810002133,189.45969659998082,4,189.45973880006932,1237041.6438932,190.66778200003318,190.66784610017203,190.68429680005647,5,190.6843328999821,1237042.8684837,194.42431220016442,194.42435139999725,194.42441710014828,6,187.42809160007164,1237039.6122407,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,27,7,2,2,7,27,0,194.44101379998028,,,,,,194.42453479999676,,,,2,194.44111100002192,1237046.6252615,194.44101379998028,,196.42797800013795,196.4687437999528,196.47402840014547,3,196.47405200009234,1237048.658203,197.68063089996576,197.68067930010147,197.69709020014852,5,197.69711580011062,1237049.8812655,201.43704079999588,201.43708409997635,201.43714389996603,6,194.44103740015998,1237046.6251874,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,28,8,2,2,8,28,2,201.4549051001668,,,,,,201.4372652999591,,,,2,201.45498310006224,1237053.6391295,201.4549051001668,,203.44108949997462,203.47679890017025,203.48072580015287,3,203.48074030014686,1237055.6648899,204.69334350014105,204.69339060015045,204.7096439001616,5,204.70966750010848,1237056.8938168,208.45030739996582,208.45035930001177,208.45045340014622,6,201.45492610009387,1237053.6390748,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,29,9,2,2,9,29,9,208.46655220002867,,,,,,208.45061550009996,,,,2,208.46664100000635,1237060.6507874,208.46655220002867,,210.45424510003068,210.50807360000908,210.51200290000997,4,210.51201570010744,1237062.6961641,211.7058515001554,211.7058898000978,211.7224457000848,5,211.72247010003775,1237063.9066208,215.46296590007842,215.4630187000148,215.46311330003664,6,208.4665767000988,1237060.650726,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,30,0,3,3,0,30,4,215.47959990007803,,,,,,215.46330810012296,,,,2,215.47970569995232,1237067.663856,215.47959990007803,,217.46624980005436,217.5018973001279,217.50590490014292,3,217.50591850001365,1237069.6900669,218.72067870013416,218.72071530018002,218.73537720018066,5,218.7354219001718,1237070.91958,222.47577610006556,222.4758224999532,222.4759121001698,6,215.4796269000508,1237067.6637774,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,31,1,3,3,1,31,5,222.49276500009,,,,,,222.47606769995764,,,,2,222.49302259995602,1237074.6771866,222.49276500009,,224.47907130001113,224.5148438999895,224.5187768000178,4,224.51879800017923,1237076.7029473,225.73170560016297,225.73175090015866,225.74831299996004,5,225.74833990004845,1237077.9324908,229.4881693001371,229.48821910005063,229.48828790010884,6,222.4928272999823,1237074.676987,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,32,2,3,3,2,32,7,229.50480780005455,,,,,,229.48842500010505,,,,2,229.50488719996065,1237081.6890361,229.50480780005455,,231.49191149999388,231.53032490005717,231.5342965000309,4,231.534322099993,1237083.7184718,232.74421790009364,232.7442545001395,232.7607993001584,5,232.76082139997743,1237084.9449707,236.50091840000823,236.5009553001728,236.50101550016552,6,229.50482950010337,1237081.688979,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,33,3,3,3,3,33,1,236.5189829999581,,,,,,236.50112799997441,,,,2,236.51906060008332,1237088.703207,236.5189829999581,,238.50467900000513,238.54135850002058,238.54528960003518,3,238.54530320013873,1237090.7294519,239.75697340001352,239.75700990017503,239.77356879995205,5,239.77359290001914,1237091.9577412,243.5140168000944,243.51405750005506,243.51412119995803,6,236.519004000118,1237088.7031532,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,34,4,3,3,4,34,2,243.53058080002666,,,,,,243.51423830003478,,,,2,243.5306865000166,1237095.714837,243.53058080002666,,245.51916970009916,245.55597770004533,245.55989360017702,3,245.5599086000584,1237097.7440577,246.77247010008432,246.77254900010303,246.78656630008481,5,246.78660320001654,1237098.9707558,250.52697769994847,250.52704890002497,250.52715840004385,6,243.53060470009223,1237095.7147558,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,35,5,3,3,5,35,9,250.54362290003337,,,,,,250.5273659999948,,,,2,250.54374810005538,1237102.7279008,250.54362290003337,,252.53060279996134,252.56740990001708,252.5713733001612,4,252.57138730003498,1237104.7555359,253.7826924000401,253.78273600013927,253.79936309996992,5,253.79941350012086,1237105.9835723,257.54068670002744,257.54079330014065,257.5409760000184,6,250.54365240014158,1237102.7278043,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,36,6,3,3,6,36,3,257.5566019001417,,,,,,257.5413332001772,,,,2,257.55684640002437,1237109.7410111,257.5566019001417,,259.54345870018005,259.58205029997043,259.5861758000683,3,259.58619319996797,1237111.7703422,260.79552850010805,260.79557690001093,260.8123523001559,5,260.8123771001119,1237112.9965271,264.55255130003206,264.5526009001769,264.55268219998106,6,257.55665959999897,1237109.7408184,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,37,7,3,3,7,37,6,264.568769000005,,,,,,264.5528384000063,,,,2,264.56885890010744,1237116.753009,264.568769000005,,266.5558321001008,266.5927065999713,266.59664370003156,4,266.5966569001321,1237118.7808054,267.80917420005426,267.8092776001431,267.82532409997657,5,267.82538240007125,1237120.0095413,271.5666754001286,271.5667797001079,271.566960999975,6,264.5687909000553,1237116.75294,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,38,8,3,3,8,38,0,271.58189150015824,,,,,,271.56731840013526,,,,2,271.5820118000265,1237123.7661627,271.58189150015824,,273.5691998000257,273.6139446001034,273.6185482000001,3,273.6185684001539,1237125.8027179,274.82097929995507,274.8210181000177,274.83813709998503,5,274.83819820010103,1237127.0223575,278.5788237999659,278.5789304000791,278.5791124999523,6,271.5819211001508,1237123.7660725,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,39,9,3,3,9,39,8,278.5945888001006,,,,,,278.5795094000641,,,,2,278.59470230014995,1237130.7788509,278.5945888001006,,280.58169579994865,280.62330500013195,280.62720420002006,4,280.62723510013893,1237132.811384,281.834519200027,281.83462520013563,281.85033369995654,5,281.8503632999491,1237134.0345119,285.59095020010136,285.59100889996625,285.5911063000094,6,278.5946194001008,1237130.7787715,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,285.6071953000501,1237137.7913469,,,,,,,,,
