img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
../stims/left_foot.png,LEFT_MI_STIM,8,8,0,0,8,8,3,75.11777590000565,,,,,,75.10509860000457,,,,2,75.11780990000261,54550.0460289,75.11777590000565,77.10218010000244,77.15147360000265,77.17232080000394,3,77.17238490000454,54552.1006119,78.35172960000637,78.3517717000068,78.36910790000547,5,78.36913350000395,54553.2973524,82.10065790000226,82.10069930000464,82.11727010000322,6,82.11729370000103,54557.0455118,84.10102790000383,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,9,9,0,0,9,9,9,84.11698770000658,,,,,,84.10115150000638,,,,2,84.11701830000675,54559.0452367,84.11698770000658,86.10046270000021,86.13766770000075,86.1518789000038,4,86.15190480000456,54561.0801229,87.35386850000214,87.35391000000527,87.37004660000093,5,87.37007880000601,54562.2982997,91.09967430000688,91.09971280000173,91.11697070000082,6,91.11699349999981,54566.0452107,93.09945750000043,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,10,10,0,0,10,10,14,93.11620390000462,,,,,,93.0995991000018,,,,2,93.11623210000107,54568.0444493,93.11620390000462,95.09955510000145,95.13832110000658,95.15073940000002,7,95.15076530000078,54570.0789826,96.35500040000625,96.35508900000423,96.37002090000169,5,96.37006120000297,54571.2982833,100.10236870000517,100.10240840000188,100.11941620000289,6,100.11946470000112,54575.0476862,102.10155710000254,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,11,11,0,0,11,11,6,102.1179415000006,,,,,,102.10170050000306,,,,2,102.11797400000069,54577.0461929,102.1179415000006,104.10237540000526,104.13904080000066,104.15373490000638,4,104.15375780000613,54579.0819755,105.3526170000041,105.35266850000335,105.36963810000452,5,105.36966440000106,54580.2978828,109.100368600004,109.10045150000224,109.12018170000374,6,109.12020960000518,54584.0484284,111.10282420000294,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,12,12,0,0,12,12,13,111.11566760000278,,,,,,111.10296030000609,,,,2,111.11569670000608,54586.0439148,111.11566760000278,113.09943960000237,113.14549820000684,113.1514743000007,7,113.15150310000172,54588.0797225,114.34937429999991,114.34941880000406,114.36762580000504,5,114.36769320000167,54589.2959187,118.09985980000056,118.09989980000682,118.116331300007,6,118.11635620000015,54593.0445741,120.09859920000599,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/left_foot.png,LEFT_MI_STIM,13,13,0,0,13,13,0,120.11558230000082,,,,,,120.09873980000702,,,,2,120.11563540000498,54595.0438581,120.11558230000082,122.09988370000065,122.13855460000195,122.14932650000264,3,122.1493494000024,54597.077567,123.34872050000558,123.34876200000144,123.36858290000237,5,123.3686427000066,54598.2968691,127.09773590000259,127.097774700007,127.11438000000635,6,127.11440310000035,54602.042621,129.09919210000226,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/left_foot.png,LEFT_MI_STIM,14,14,0,0,14,14,4,129.11598680000316,,,,,,129.0993862000032,,,,2,129.116036600004,54604.0442591,129.11598680000316,131.09762010000122,131.13405090000015,131.14871900000435,3,131.14874210000562,54606.0769596,132.34916320000048,132.34920460000285,132.36469840000063,5,132.36472530000174,54607.2929437,136.09808660000272,136.09812650000094,136.11463790000562,6,136.11466160000418,54611.0428796,138.09748590000527,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,15,0,1,1,0,15,13,138.11417970000184,,,,,,138.09761030000664,,,,2,138.11420870000438,54613.0424277,138.11417970000184,140.09841420000157,140.1418468000047,140.1482415999999,7,140.14826420000463,54615.0764817,141.3505301000041,141.35059190000175,141.366354400001,5,141.36638830000447,54616.2946085,145.1003320000018,145.1003714000035,145.11608950000664,6,145.11611610000546,54620.0443338,147.09754220000468,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,16,1,1,1,1,16,8,147.11504570000398,,,,,,147.09770600000047,,,,2,147.11507780000102,54622.043296,147.11504570000398,149.09687070000655,149.13322690000496,149.14930680000543,4,149.14932970000518,54624.0775469,150.3482490000024,150.34831220000342,150.36453710000205,5,150.3645633000051,54625.292781,154.0964318000042,154.0964712000059,154.1132185000024,6,154.11324140000215,54629.0414588,156.09665350000432,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,17,2,1,1,2,17,11,156.11427700000058,,,,,,156.09679920000053,,,,2,156.1143069000027,54631.042525,156.11427700000058,158.0965451000011,158.13421160000144,158.15013300000282,7,158.1501569000029,54633.0783745,159.35173550000036,159.35177730000578,159.36335550000513,5,159.36338130000513,54634.2915994,163.0960300000006,163.0960686000035,163.11266450000403,6,163.11268810000183,54638.0409056,165.09627230000478,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
