img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
../stims/both_feet.png,BOTH_MI_STIM,18,3,1,1,3,18,11,165.096446800002,,,,,,165.08055420000164,,,,2,165.0964735000016,38772.6682339,165.096446800002,,167.0805610000025,167.11827099999937,167.13068989999738,7,167.13071359999594,38774.7024736,168.33380449999822,168.33384610000212,168.3492385999998,5,168.34926299999643,38775.9210234,172.08249100000103,172.08253369999875,172.09994220000226,6,172.1000067999994,38779.6717775,174.0831784999973,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,19,4,1,1,4,19,6,174.09960570000112,,,,,,174.08356690000073,,,,2,174.09968610000215,38781.6714565,174.09960570000112,,176.08139230000234,176.1189102999997,176.1306035000016,4,176.13062630000059,38783.702387,177.33129819999886,177.33133950000047,177.3465062999967,5,177.3465303999983,38784.9182907,181.0795794000005,181.07962229999976,181.09591619999992,6,181.0959428999995,38788.6677043,183.07913259999623,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,20,5,1,1,5,20,4,183.09614000000147,,,,,,183.07926579999912,,,,2,183.09617689999868,38790.6679387,183.09614000000147,,185.07956520000153,185.11615370000072,185.13050369999837,3,185.13054959999863,38792.7023181,186.32949309999822,186.3295500000022,186.34634659999574,5,186.3463816000003,38793.9181461,190.08133590000216,190.08137529999658,190.09775629999785,6,190.09777960000065,38797.6695398,192.08227620000253,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,21,6,1,1,6,21,13,192.09882130000187,,,,,,192.08267199999682,,,,2,192.09890599999926,38799.6706797,192.09882130000187,,194.07839519999834,194.11783180000202,194.12983820000227,7,194.12987409999914,38801.7016375,195.33208770000056,195.3322100000005,195.34757259999606,5,195.34762139999657,38802.9193887,199.07841909999843,199.0784582999986,199.09488270000293,6,199.09490630000073,38806.6666665,201.0781083999973,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,22,7,1,1,7,22,8,201.09469649999664,,,,,,201.07823469999857,,,,2,201.09472670000105,38808.6664875,201.09469649999664,,203.0782074000017,203.11369910000212,203.12947020000138,4,203.12949359999766,38810.7012543,204.3283356000029,204.32837719999952,204.3446155999991,5,204.34463880000112,38811.9163993,208.0777567999976,208.0777941999986,208.09458050000103,6,208.09460379999655,38815.6663641,210.0777173000024,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,23,8,1,1,8,23,3,210.09441259999585,,,,,,210.07783960000233,,,,2,210.0944410000011,38817.6662013,210.09441259999585,,212.07947530000092,212.1157394999973,212.13061780000135,3,212.13064109999686,38819.7024016,213.32996099999582,213.33000090000132,213.34635100000014,5,213.34637379999913,38820.9181342,217.07865370000218,217.0786939000027,217.09490399999777,6,217.09492809999938,38824.6666883,219.08094220000203,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,24,9,1,1,9,24,5,219.0955490999986,,,,,,219.08106899999984,,,,2,219.09558010000183,38826.6673403,219.0955490999986,,221.07844569999725,221.11823909999657,221.13238509999792,4,221.13240909999877,38828.7041694,222.3323734000005,222.33241570000246,222.3504649999959,5,222.3504959999991,38829.9222581,226.07891969999764,226.07899570000154,226.09475289999682,6,226.09478210000088,38833.6665439,228.07934669999668,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,25,10,1,1,10,25,1,228.0997639999987,,,,,,228.0794756999967,,,,2,228.0997961999965,38835.6715573,228.0997639999987,,230.0797328999979,230.1367659000025,230.14408150000236,3,230.14410489999864,38837.7158643,231.327154599996,231.3271958999976,231.34520689999772,5,231.345229999999,38838.9169901,235.07724259999668,235.0772816000026,235.0937752999962,6,235.09379810000246,38842.6655587,237.07951740000135,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,26,11,1,1,11,26,14,237.09577619999618,,,,,,237.07990599999903,,,,2,237.09586029999627,38844.6676321,237.09577619999618,,239.07825649999722,239.12768399999914,239.14369889999944,7,239.14372249999724,38846.7154827,240.32905819999723,240.3291784999965,240.34558599999582,5,240.34565170000133,38847.9174218,244.07863899999938,244.0786894999983,244.0940791999965,6,244.09410249999928,38851.6658627,246.077752600002,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,27,12,1,1,12,27,12,246.09401580000122,,,,,,246.07803099999728,,,,2,246.09407510000165,38853.6658425,246.09401580000122,,248.0763203999959,248.11662149999756,248.1281095000013,7,248.12813269999606,38855.6998924,249.32818989999942,249.32829689999926,249.34493089999887,5,249.34499030000006,38856.91676,253.07531980000203,253.07536419999815,253.09178319999774,6,253.09180639999977,38860.6635667,255.07632960000046,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,28,13,1,1,13,28,7,255.09258849999605,,,,,,255.07645449999836,,,,2,255.09262229999877,38862.664383,255.09258849999605,,257.0758786000006,257.1141650999998,257.1261871000024,4,257.12622369999735,38864.6979878,258.33207910000056,258.33218179999676,258.3421032999977,5,258.3421346999967,38865.9138969,262.0750870999982,262.0751309999978,262.0947425999984,6,262.09476970000105,38869.6665306,264.0764551999964,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,29,14,1,1,14,29,10,264.0921135000026,,,,,,264.076588099997,,,,2,264.09216500000184,38871.6639303,264.0921135000026,,266.07587729999796,266.1766088000004,266.1930924999979,7,266.1931359000009,38873.7649006,267.32676509999874,267.326845399999,267.3427376999971,5,267.34276529999624,38874.9145262,271.0762360000008,271.07628549999936,271.0929275000017,6,271.0929658000023,38878.6647297,273.07673149999755,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0768496000019,273.0769194999957,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,273.09134389999963,38880.6631043,,,,,,,,,
