img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
../stims/both_feet.png,BOTH_MI_STIM,18,3,1,1,3,18,11,165.10556550000183,,,,,,165.09267550000368,,,,2,165.10559620000276,40134.8523727,165.10556550000183,,167.09615119999944,167.1341453999994,167.16017519999878,7,167.16019919999962,40136.9069757,168.33784670000023,168.3378881000026,168.3605607999998,5,168.3605849000014,40138.1073618,,172.09475860000384,172.09479989999818,172.1055109000008,6,172.10553349999827,40141.8523097,174.09565830000065,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,19,4,1,1,4,19,1,174.1112948000009,,,,,,174.09579130000202,,,,2,174.11132460000226,40143.8581011,174.1112948000009,,176.09082730000227,176.12753260000318,176.15874079999776,3,176.15876550000394,40145.9055419,177.34084460000304,177.34090819999983,177.35603039999842,5,177.35605300000316,40147.1028295,,181.0839347000001,181.08400870000332,181.10584540000127,6,181.10586940000212,40150.8526467,183.08477400000265,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,20,5,1,1,5,20,8,183.10601699999825,,,,,,183.08490690000326,,,,2,183.10605029999715,40152.8528276,183.10601699999825,,185.08906070000376,185.13047129999904,185.16317410000192,4,185.16319929999736,40154.9099759,186.33858429999964,186.3386249000032,186.35272909999912,5,186.35275040000124,40156.0995267,,190.08761740000045,190.0876569000029,190.1037357000023,6,190.10375799999747,40159.8505342,192.08598679999704,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,21,6,1,1,6,21,7,192.10802590000094,,,,,,192.08611579999706,,,,2,192.1080574000007,40161.8548342,192.10802590000094,,194.09540500000003,194.1306928999984,194.16176570000243,4,194.16179060000286,40163.9085671,195.33828670000366,195.33835279999766,195.35187920000317,5,195.35190180000063,40165.0986782,,199.09187499999825,199.09192710000207,199.10536270000011,6,199.10540069999843,40168.8521809,201.08711570000014,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,22,7,1,1,7,22,10,201.10858110000117,,,,,,201.08725979999872,,,,2,201.10861360000126,40170.855391,201.10858110000117,,203.1084520000004,203.15436359999876,203.17720330000157,7,203.1772523000036,40172.9240339,204.34468400000333,204.3447415999981,204.36012389999814,5,204.36014579999755,40174.1069221,,208.09202489999734,208.0920643999998,208.10596819999773,6,208.1059918000028,40177.8527683,210.08259410000028,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,23,8,1,1,8,23,14,210.10365280000406,,,,,,210.08272320000106,,,,2,210.1036821000016,40179.8504581,210.10365280000406,,212.08452370000305,212.1243151000017,212.13851460000296,7,212.13853789999848,40181.8853144,213.33871979999822,213.3387608999983,213.35332519999793,5,213.35334790000343,40183.1001243,,217.08233499999915,217.08237419999932,217.10350949999702,6,217.10353249999753,40186.8503092,219.1058406000011,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,24,9,1,1,9,24,12,219.12002870000288,,,,,,219.1059671999974,,,,2,219.12005859999772,40188.8668352,219.12002870000288,,221.08922950000124,221.1271704000028,221.14332280000235,7,221.14334840000083,40190.8901253,222.33748200000264,222.33752310000273,222.35900029999902,5,222.35902460000216,40192.1058012,,226.08518560000084,226.08522529999755,226.1069067999997,6,226.10693030000402,40195.8537067,228.08433779999905,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,25,10,1,1,10,25,4,228.1000755999994,,,,,,228.08446230000118,,,,2,228.10010540000076,40197.8468822,228.1000755999994,,230.08253610000247,230.11777910000092,230.13669730000402,3,230.136720100003,40199.8834964,231.33880979999958,231.33887120000145,231.36579090000305,5,231.3658151999989,40201.112592,,235.0927931999977,235.09283290000167,235.10765900000115,6,235.1076815999986,40204.8544587,237.08703819999937,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,26,11,1,1,11,26,13,237.09818980000273,,,,,,237.08717120000074,,,,2,237.09821979999833,40206.8449963,237.09818980000273,,239.09553810000216,239.13144679999823,239.15892470000108,7,239.1589490999977,40208.9057254,240.33866120000312,240.33870190000016,240.35338680000132,5,240.35340890000225,40210.100185,,244.1160239000019,244.1160633000036,244.14063570000144,6,244.1406597000023,40213.8874363,246.08566460000293,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,27,12,1,1,12,27,2,246.09716430000117,,,,,,246.0857959999994,,,,2,246.0971950000021,40215.8439722,246.09716430000117,,248.09272610000335,248.12947549999808,248.15281820000382,3,248.15284529999917,40217.8996235,249.33656599999813,249.33660670000245,249.3513180000009,5,249.3513430000021,40219.0981196,,253.0899344999998,253.08997480000107,253.10153790000186,6,253.10156229999848,40222.8483388,255.08315220000077,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,28,13,1,1,13,28,9,255.10548600000038,,,,,,255.0833105999991,,,,2,255.10552889999963,40224.8523091,255.10548600000038,,257.0829520999978,257.117625699997,257.14661239999987,4,257.1466384000014,40226.8934155,258.33982410000317,258.33987190000335,258.3521913000004,5,258.3522148999982,40228.0989918,,262.0860649000024,262.0861242000028,262.09798160000355,6,262.0980045000033,40231.8447811,264.08517389999906,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,29,14,1,1,14,29,3,264.1082031000042,,,,,,264.0853319000016,,,,2,264.10824870000215,40233.8550288,264.1082031000042,,266.0838322999989,266.12025500000163,266.1603636,3,266.16040059999796,40235.9071796,267.35647880000033,267.3565262999982,267.36979319999955,5,267.3698168999981,40237.1165938,,271.1050469999973,271.10508929999924,271.1173329000012,6,271.11735749999934,40240.8641346,273.0879860999994,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0880762000015,273.0881410000002,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,273.09910050000326,40242.8458767,,,,,,,,,
